gene_id,C_0074_BA9_mRNASeq,C_0107_BA9_mRNASeq,H_1106_BA9_mRNASeq,H_0821_BA9_mRNASeq,C_0103_BA9_mRNASeq,C_0113_CAP_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,C_0054_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_0791_BA9_mRNASeq
ENSG00000116701.14,123.0,39.0,76.0,91.0,118.0,103.0,88.0,203.0,213.0,102.0,144.0,264.0,94.0
ENSG00000167419.10,80.1456,169.291,102.262,179.519,137.165,92.1962,146.907,168.458,185.093,96.5089,205.71400000000003,135.279,127.21
ENSG00000226443.3,13.0,63.0,45.0,105.0,64.0,15.0,69.0,34.5466,26.0,22.0,66.0,5.0,43.0
ENSG00000266578.1,16.5729,22.6585,28.8085,34.3079,24.011,20.2172,34.1728,26.4863,28.1834,21.0392,40.8031,23.7863,33.96
ENSG00000135776.4,683.192,865.696,750.831,655.829,710.4939999999998,646.031,568.8430000000002,559.977,680.4010000000002,892.2819999999998,779.0219999999998,594.178,707.8610000000001
ENSG00000169692.12,89.0,142.0,94.0001,212.0,107.0,88.0,114.0,90.0,133.0,112.0,159.0,129.0,131.0
ENSG00000222248.1,6.0,14.0,9.0,10.0,13.0,4.0,10.0,8.0,14.0,6.0,6.0,9.0,15.0
ENSG00000231241.1,1.0,10.0,1.0,10.0,2.0,2.0,7.0,6.0,8.0,9.0,2.0,0.0,9.0
ENSG00000274762.1,17.0,15.0,10.0,13.0,8.0,40.0,49.0,98.0,53.0,15.0,26.0,88.0,31.0
ENSG00000265917.1,14.0,28.0,13.0,18.0,21.0,12.0,15.0,14.0,12.0,28.0,28.0,11.0,14.0
ENSG00000230628.1,6.0,22.0,6.0077300000000005,9.0,11.0,8.01758,16.0,9.08688,14.0,8.0,9.0,15.0,9.0
ENSG00000123933.15,965.0,1337.0,1034.0,1712.0,1200.0,908.0,1235.0,1023.0,1073.0,900.0,977.999,680.0,1625.0
ENSG00000279674.1,406.0,699.0,394.0,648.0,501.0,468.0,504.0,460.0,711.0,443.0,843.0,307.0,586.0
ENSG00000077063.10,1468.0,2832.0,2433.0,2218.0,1869.0,3184.0,1943.0,3432.0,3613.0,1819.99,2021.0,2741.0,2281.0
ENSG00000115419.12,16217.4,15839.6,16762.4,10888.3,12897.6,9553.89,18090.9,7371.02,9056.66,19759.6,17780.6,9482.16,21342.0
ENSG00000179420.11,2.0,26.0,6.0,33.0,12.0,9.0,7.0,2.0,13.0,6.0,5.0,3.0,2.0
ENSG00000134193.14,2.0,6.0,4.0,3.0,3.0,7.0,11.0,11.0,4.0,7.0,8.0,2.0,5.0
ENSG00000107562.16,351.0,273.0,372.0,122.0,230.0,355.0,225.0,218.0,431.999,276.0,255.0,184.0,176.0
ENSG00000262313.1,2.0,16.0,5.0,5.0,8.0,10.0,12.0,20.0,15.0,7.0,5.0,10.0,13.0
ENSG00000232077.1,11.5934,15.4924,14.593,12.3798,8.55442,14.7597,15.5078,10.7265,9.4251,16.6258,15.5279,28.013,12.9141
ENSG00000165966.14,582.0,644.0,921.0,770.0,524.0,212.0,735.0,141.0,186.0,874.0,604.0,170.0,619.0
ENSG00000249229.2,4.0,11.0,13.0,16.0,9.0,4.0,7.0,0.0,3.0,10.0,5.0,5.0,15.0
ENSG00000260572.1,68.0,140.0,72.0,114.0,89.0,56.0,85.0,96.0,114.0,45.0,94.0,98.0,116.0
ENSG00000140265.12,731.002,1065.8,992.028,832.53,906.178,799.577,825.752,818.4019999999998,862.818,1055.66,942.168,663.602,1198.96
ENSG00000151923.17,2039.5,2923.33,2427.38,2637.74,2119.59,2241.3,2769.91,2207.04,2925.78,2529.64,2686.09,2001.49,3289.6
ENSG00000138379.4,35.0,31.0,65.0,90.0,44.0,52.0,129.0,33.0,72.0,47.0,54.0,12.0,90.0
ENSG00000197785.13,273.033,308.626,219.822,357.5440000000001,301.362,227.957,175.77900000000002,193.304,327.185,293.502,277.312,184.398,250.187
ENSG00000207181.1,38.0,21.0,31.0,21.0,23.0,27.0,42.0,33.0,29.0,26.0,32.0,30.0,44.0
ENSG00000164326.4,487.0,383.0,600.0,947.0,803.0,42.0,569.0,12.0,45.0,1347.0,1270.0,135.0,1460.0
ENSG00000112062.10,1690.0,2506.0,2003.0,2242.0,1803.0,1724.0,2250.0,1827.01,1961.0,2249.0,2450.0,1703.0,2785.0
ENSG00000236863.2,16.0,40.0,22.0,51.0,32.0,23.0,53.0,24.0,39.0,16.0,24.0,37.0,36.0
ENSG00000152904.11,1175.09,941.164,1288.94,738.543,888.283,1079.78,928.433,947.314,962.048,1394.81,1074.58,1046.46,1257.54
ENSG00000170271.10,993.194,2312.93,1944.65,1558.82,1002.16,1372.7,709.46,1141.95,1250.05,1261.03,956.569,1263.47,862.055
ENSG00000242317.1,5.0,9.0,8.0,7.0,3.0,6.0,4.0,5.0,8.0,7.0,9.0,0.0,14.0
ENSG00000260735.1,773.7330000000002,2147.27,998.603,2550.22,1532.79,1064.52,1834.52,1718.52,1807.73,848.8439999999998,1761.35,805.3610000000001,2068.25
ENSG00000176343.5,2.0,1.0,3.0,5.0,3.0,2.0,2.0,8.0,3.0,3.00141,8.0,3.0,8.0
ENSG00000224870.6,384.999,344.0,318.0370000000001,298.0,290.082,251.0,173.037,196.0,295.0,330.0,276.001,259.0,238.171
ENSG00000204278.12,111.0,592.999,456.0,260.0,160.0,380.0,125.0,196.0,457.0,276.0,159.0,212.001,127.0
ENSG00000237861.1,23.0,57.0,32.0,31.0,15.0,39.0,14.0,18.0,14.0,17.0,29.0,26.0,13.0052
ENSG00000228302.2,36.5825,84.7655,47.4254,82.6916,66.5817,68.3514,73.4376,78.8675,92.0493,48.4169,85.7918,41.191,76.965
ENSG00000269755.1,87.3062,75.80199999999998,76.1168,81.0226,75.3546,57.4469,101.44,64.1381,85.1842,95.4748,122.734,64.5976,89.1427
ENSG00000260063.1,5.0,14.0,4.0,5.0,6.0,4.0,8.0,9.0,5.0,12.0,8.0,32.0,11.0
ENSG00000236086.4,3.0,19.1095,7.0,10.0,7.0,7.1017600000000005,2.0,5.0,21.0,3.0,12.0,11.0,11.0
ENSG00000160877.5,1276.0,1278.0,1058.0,1403.0,1166.0,986.0,885.0,1003.0,1355.93,833.94,988.0,785.0,1192.99
ENSG00000275015.1,0.0,13.0,7.0,11.0,7.0,8.0,9.0,6.0,10.0,9.0,8.0,2.0,5.0
ENSG00000271723.5,145.222,228.841,135.921,200.866,158.618,144.34799999999996,130.085,54.2449,137.898,114.471,242.375,143.798,122.437
ENSG00000143669.13,4240.61,6376.69,5246.35,5813.95,5128.35,5374.01,5036.97,4950.08,6692.06,5629.81,6142.46,4155.24,6470.56
ENSG00000164031.16,7168.8,7581.52,7397.09,4488.8,5822.54,5563.11,7146.14,4085.64,5372.47,8919.04,7725.09,4826.3,7970.02
ENSG00000235778.1,16.6747,26.3304,12.9846,39.2679,19.0795,9.72975,9.59346,9.99941,24.3202,1.44375,15.9186,9.91807,6.47619
ENSG00000261615.6,13.3804,24.7164,15.1751,24.1789,19.4221,12.7799,13.5715,38.7122,18.4705,8.31965,16.7842,11.4341,20.1878
ENSG00000282308.1,4.0,15.0,12.0,17.0,10.0,15.0,15.0,17.0,13.0,7.0,19.0,8.0,9.0
ENSG00000060656.19,781.0,1515.0,802.0,2082.0,978.999,269.0,1591.0,424.0,509.0,959.0,1057.0,444.0,1234.0
ENSG00000245164.6,19.3689,9.10882,10.1902,21.1661,13.178,49.4146,19.3106,85.5873,53.7171,10.075,16.3483,25.2079,17.273
ENSG00000235674.2,11.0,45.0,26.5311,49.0,19.0115,26.6799,24.4534,27.7669,43.4425,23.0,24.1676,12.305,26.1716
ENSG00000115392.11,800.493,1065.29,1285.64,953.881,766.74,1232.11,988.937,1226.61,1313.33,1157.33,1030.63,1221.2,1063.74
ENSG00000224881.1,76.2045,119.546,66.0565,125.375,77.03699999999998,52.78100000000001,144.42700000000005,79.9209,116.352,60.6054,85.5126,30.4235,116.131
ENSG00000124784.8,592.0,450.0,659.0,273.0,442.001,426.0,293.0,260.0,452.0,635.991,552.0,496.0,436.0
ENSG00000143429.10,488.835,580.118,429.777,507.318,359.564,557.9069999999998,697.2510000000002,772.975,666.0980000000002,305.148,508.972,369.077,782.845
ENSG00000237887.1,42.9277,121.0,52.4575,129.0,138.0,76.0,75.8531,78.0,118.0,34.0,82.0,57.0,84.1418
ENSG00000238358.2,33.7953,52.4261,54.3752,40.2231,36.7371,49.5385,66.0117,34.998000000000005,46.1775,25.5347,62.6966,40.4656,52.0708
