gene_id,Gene name,HGNC symbol,counts__beta,counts__p,counts__padj
ENSG00000113108,APBB3,APBB3,0.006470920635545191,8.671687734551625e-08,4.26859738314561e-05
ENSG00000172575,RASGRP1,RASGRP1,0.00313623876085765,8.855439026511651e-08,4.2783249770863396e-05
ENSG00000196972,SMIM10L2B,SMIM10L2B,0.0027935915868063945,9.44576928896268e-08,4.480557726904497e-05
ENSG00000113328,CCNG1,CCNG1,-0.005101059396964587,9.785360288727674e-08,4.558754724511005e-05
ENSG00000163221,S100A12,S100A12,-0.051955762891571736,1.0186959098490431e-07,4.662589051237139e-05
ENSG00000072954,TMEM38A,TMEM38A,0.0043132311978744346,1.0441086517598565e-07,4.696508726855672e-05
ENSG00000180155,LYNX1,LYNX1,0.0006744392953864003,1.1464778126857311e-07,4.985076609193007e-05
ENSG00000154781,CCDC174,CCDC174,-0.021057412253147532,1.1283757606062038e-07,4.985076609193007e-05
ENSG00000226950,DANCR,DANCR,-0.007264875308619508,1.2122468362463223e-07,5.184640608332837e-05
ENSG00000057593,F7,F7,0.08200616088146262,1.239044302714376e-07,5.213778518308929e-05
ENSG00000144152,FBLN7,FBLN7,0.011461554832535466,1.3139690069330356e-07,5.441291654266026e-05
ENSG00000236279,CLEC2L,CLEC2L,0.0042167134978690814,1.3444174873367134e-07,5.4803918479886735e-05
ENSG00000277332,AC145123.2,,0.1856441613420665,1.3879881477496525e-07,5.5709573517908753e-05
ENSG00000168124,OR1F1,OR1F1,0.31811172577539026,1.451267640506515e-07,5.7366850716931015e-05
ENSG00000166295,ANAPC16,ANAPC16,-0.002934731565651857,1.488879506350571e-07,5.79751902107165e-05
ENSG00000236154,RP11-343J3.2,,-0.2687321895802643,1.5489072013874508e-07,5.942564702499587e-05
ENSG00000115590,IL1R2,IL1R2,-0.08917242988517365,1.6041733408300734e-07,6.0654026505675034e-05
ENSG00000171450,CDK5R2,CDK5R2,0.001851670048871662,1.6316173578889706e-07,6.0810378928521924e-05
ENSG00000164117,FBXO8,FBXO8,-0.012177017145080156,1.6871671026930102e-07,6.11340313085527e-05
ENSG00000122912,SLC25A16,SLC25A16,0.013600284258925368,1.6870280206138233e-07,6.11340313085527e-05
ENSG00000136819,C9orf78,C9orf78,-0.00675835830308628,1.8721388395093183e-07,6.690716463555974e-05
ENSG00000152056,AP1S3,AP1S3,0.08173394259657776,2.0098275743674066e-07,6.899262051009378e-05
ENSG00000125144,MT1G,MT1G,-0.0012914679336560805,1.9863605127401485e-07,6.899262051009378e-05
ENSG00000111817,DSE,DSE,-0.009721988781056422,1.974809732407934e-07,6.899262051009378e-05
ENSG00000011304,PTBP1,PTBP1,-0.0036612022647744408,2.137421500902903e-07,7.067901544927865e-05
ENSG00000204396,VWA7,VWA7,0.010533861458084277,2.0935474098759954e-07,7.067901544927865e-05
ENSG00000175782,SLC35E3,SLC35E3,0.01858334970406846,2.140228533287214e-07,7.067901544927865e-05
