gene_id,Gene name,HGNC symbol,counts__beta,counts__p,counts__padj
ENSG00000223865,HLA-DPB1,HLA-DPB1,0.0021508806066189,0.003986792037658171,0.038615592566825084
ENSG00000277363,SRCIN1,SRCIN1,-0.0004303508434669277,0.0039885946539732755,0.03862054584018799
ENSG00000091409,ITGA6,ITGA6,0.001321589044174677,0.0039904490296566175,0.0386259969181325
ENSG00000241158,ADAMTS9-AS1,ADAMTS9-AS1,0.008735554366539066,0.003997582262809885,0.038682525228289764
ENSG00000174837,ADGRE1,ADGRE1,0.03316229340145069,0.004009890947208938,0.03877654000356267
ENSG00000104643,MTMR9,MTMR9,-0.0011084527746613843,0.00400870585646862,0.03877654000356267
ENSG00000244425,RN7SL268P,RN7SL268P,-0.07610070571629453,0.004017691392077749,0.03883941484713816
ENSG00000196460,RFX8,RFX8,-0.028488159613533987,0.004039273628383522,0.03903543593697936
ENSG00000071794,HLTF,HLTF,-0.0013652803136849426,0.004041063339869978,0.03904011773110822
ENSG00000254681,PKD1P5,PKD1P5,-0.0017363678931210265,0.0040486447687213545,0.03910073136340191
ENSG00000186951,PPARA,PPARA,0.0019362560928999554,0.0040504280488078415,0.03910532696573355
ENSG00000158122,AAED1,AAED1,0.011608490989458577,0.004052650991590467,0.03911267810529039
ENSG00000177606,JUN,JUN,0.000305255584843729,0.00405380481866935,0.03911267810529039
ENSG00000175497,DPP10,DPP10,-0.0006948679141674534,0.00405514248088612,0.039112967301936113
ENSG00000106948,AKNA,AKNA,0.003185133374303155,0.004057321116803125,0.03912136512043246
ENSG00000127954,STEAP4,STEAP4,0.0057723167973925075,0.0040602666634727,0.039137149824192224
ENSG00000145916,RMND5B,RMND5B,-0.002717485804691089,0.004061688037030664,0.03913823749600102
ENSG00000122566,HNRNPA2B1,HNRNPA2B1,0.00015093952619063262,0.004065296060989154,0.03916038814305495
ENSG00000266289,RP11-1C8.6,,0.044076717154262535,0.004066653129772946,0.03916084839391784
ENSG00000140043,PTGR2,PTGR2,0.003663969075999165,0.004070241674034136,0.03918278998080496
ENSG00000054356,PTPRN,PTPRN,-0.0002784031681159207,0.004081151640487168,0.039275175536348524
ENSG00000105549,THEG,THEG,-0.030407694582761838,0.004082656809409557,0.03927702321307168
ENSG00000157240,FZD1,FZD1,0.004507306026243676,0.004084087405025083,0.03927815250299042
ENSG00000104972,LILRB1,LILRB1,0.008767792080029698,0.004091339608682243,0.03932788937271858
ENSG00000196388,INCA1,INCA1,-0.01853945679552796,0.004091888723767978,0.03932788937271858
ENSG00000258515,RP11-203M5.7,,-0.03658532499302336,0.004094728623861288,0.039337884480092164
ENSG00000106066,CPVL,CPVL,0.0038503433371521725,0.004095559086292444,0.039337884480092164
ENSG00000211675,IGLC1,IGLC1,0.11636194981665313,0.004106991212974309,0.0394097231889835
ENSG00000142731,PLK4,PLK4,-0.02423903227029701,0.004105834417666432,0.0394097231889835
ENSG00000167711,SERPINF2,SERPINF2,0.013896997428535163,0.004104653982728634,0.0394097231889835
ENSG00000228037,RP3-395M20.9,,0.09886982244261956,0.004124719308268189,0.039567143845510425
ENSG00000094796,KRT31,KRT31,-0.02142061870233244,0.00412644817854102,0.039571037197871715
ENSG00000087589,CASS4,CASS4,0.020120015648264832,0.0041297012798192645,0.039589540153651986
ENSG00000145832,SLC25A48,SLC25A48,0.00248672190292132,0.004133470536672901,0.039612977812203284
ENSG00000149657,LSM14B,LSM14B,-0.0014899432023838678,0.004134969292414414,0.03961464815378448
ENSG00000143858,SYT2,SYT2,-0.00160464660021437,0.0041397824196766075,0.03964806025377116
ENSG00000173868,PHOSPHO1,PHOSPHO1,-0.015272821769985484,0.004157025242151113,0.0398004561436427
ENSG00000117385,P3H1,P3H1,0.0057041971563043465,0.004162867553285654,0.03983607169371458
ENSG00000214783,POLR2J4,POLR2J4,-0.014055661593813235,0.0041634088971765895,0.03983607169371458
ENSG00000108423,TUBD1,TUBD1,0.013504193491969137,0.0041663534383911145,0.03985149707140332
ENSG00000168679,SLC16A4,SLC16A4,0.008799413153371594,0.004168440258694561,0.03985871104141762
ENSG00000272047,GTF2H5,GTF2H5,-0.002767857400569927,0.004170435130326999,0.039865041466308905
ENSG00000182667,NTM,NTM,-0.0007426049721169152,0.004182138355674603,0.03995795571110043
ENSG00000169242,EFNA1,EFNA1,0.001687943529206522,0.004182827125759125,0.03995795571110043
ENSG00000179604,CDC42EP4,CDC42EP4,0.000569171147384953,0.004188096536205888,0.03999551960342213
ENSG00000271009,RP11-346C20.3,,0.02573867679737134,0.00419095357277155,0.040010029161058745
ENSG00000129103,SUMF2,SUMF2,-0.0020029913096415177,0.004193567096906881,0.04002220544622999
ENSG00000144560,VGLL4,VGLL4,0.0015639865702884914,0.004195677250583564,0.04002957147207475
ENSG00000182473,EXOC7,EXOC7,-0.0007352826280661333,0.0042118236882974225,0.040170805649545886
ENSG00000140030,GPR65,GPR65,0.020039501478466854,0.004224530717890307,0.04027915644631784
