gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000068354.15,484.0,438.0,458.0,525.0,265.0
ENSG00000147155.10,313.0,185.0,346.0,347.001,217.0
ENSG00000102312.20,401.335,277.033,422.0,334.18300000000005,251.0
ENSG00000017483.14,299.959,38.0035,160.0,52.0,67.0
ENSG00000221994.10,293.824,325.753,45.4471,169.872,58.119
ENSG00000147118.11,424.483,401.947,118.591,256.004,105.706
ENSG00000126759.12,96.0259,188.229,69.2982,134.709,28.5148
ENSG00000102265.11,133.0,371.0,375.0,486.0,190.0
ENSG00000008056.12,3689.0,1831.0,10669.0,2118.0,6584.0
ENSG00000102226.9,6712.0,5541.0,7137.0,7787.0,4082.0
ENSG00000130985.16,5438.25,3523.34,3926.53,3687.79,2893.56
ENSG00000147123.10,1036.41,566.795,1295.29,1010.33,934.987
ENSG00000130988.12,552.496,344.237,292.043,672.1060000000001,172.0
ENSG00000251192.7,411.626,424.797,66.5349,370.61800000000005,63.3662
ENSG00000229563.6,23.012,53.1447,2.03711,32.7161,3.01251
ENSG00000229491.5,27.9325,16.774,1.04262,36.0582,1.05326
ENSG00000147050.14,1386.74,1473.98,205.0,1067.37,231.0
ENSG00000069535.13,1626.0,4335.0,1336.0,4362.0,1658.0
ENSG00000269226.7,152.19799999999995,165.453,43.364,156.07,40.4098
ENSG00000171657.5,140.25,154.987,8.47423,82.9393,3.39459
ENSG00000171659.13,527.0,318.0,39.0,363.0,49.0
ENSG00000147044.20,2591.49,1820.2,479.0,1894.6,379.0
ENSG00000124486.12,12613.4,7437.83,1318.09,8872.1,1206.01
ENSG00000214031.2,239.031,256.935,4.07868,151.659,3.58627
ENSG00000234636.2,11.0,9.0,20.0,22.0,7.0
ENSG00000238123.1,41.0,27.0,1.0,32.0,3.14624
ENSG00000165175.15,719.5139999999999,660.268,1277.14,832.888,943.869
ENSG00000156298.12,15367.0,11057.0,10339.0,17125.3,8298.0
ENSG00000147041.11,507.0,2165.0,80.0,1999.0,68.0
ENSG00000165169.10,2944.66,1219.19,1405.0,2101.01,1357.02
ENSG00000165168.7,927.0,1481.0,106.0,1222.0,300.0
ENSG00000147140.15,3116.19,2408.42,1987.05,3520.47,1515.89
ENSG00000165164.13,125.0,428.0,6.0,595.0,13.0
ENSG00000271519.1,235.862,228.659,11.7488,182.237,9.94161
ENSG00000233928.5,85.9999,33.0,6.0,26.0,1.0
ENSG00000198947.15,7821.37,2644.18,487.0,3279.9,487.231
ENSG00000243055.1,37.2856,38.7046,3.0,40.5307,3.62004
ENSG00000198814.12,648.599,486.098,247.018,999.806,154.662
ENSG00000120280.5,56.2006,26.2866,9.0,60.1569,18.015
ENSG00000228933.7,19.4427,20.328,2.00069,13.9257,2.01826
ENSG00000004848.7,171.16099999999997,61.7533,236.0,97.7189,135.0
ENSG00000102230.13,1173.06,1350.18,298.543,1388.02,360.271
ENSG00000005889.15,2288.8,3007.97,179.046,2192.71,290.0
ENSG00000130741.10,2534.46,2436.65,771.051,2505.84,890.582
ENSG00000238103.4,8.56563,8.09863,8.740689999999999,7.5560399999999985,4.40761
ENSG00000233785.1,24.5104,20.4916,2.00957,61.4364,2.0157700000000003
ENSG00000012174.11,1143.66,589.747,212.255,691.378,186.069
ENSG00000091482.5,45.0,3.0,34.0,18.0,29.0
ENSG00000177189.12,3411.97,2386.22,614.499,3151.37,480.666
ENSG00000173674.10,6339.0,3482.0,1793.0,4198.32,1474.0
ENSG00000173681.16,1623.85,1095.57,176.639,1123.18,210.735
ENSG00000131828.13,2644.27,1694.02,1446.22,2256.26,1123.52
ENSG00000173698.17,138.325,153.512,10.3591,147.00799999999995,4.3027
ENSG00000044446.11,512.3480000000002,933.254,262.42400000000004,849.02,268.288
