	int__beta	int__p	int__padj	Subject.death__beta	Subject.death__p	Subject.death__padj	counts__beta	counts__p	counts__padj
ENSG00000130150.11	2.3476410427138443	0.7202956648663439	1.0	-0.04024727128675732	0.06267347937558587	0.0851198944634629	-9.833928456076508e-05	0.6983549511221419	1.0
ENSG00000165084.15	1.8172057247006508	0.11991064700504506	0.8737975217195799	-0.0367607749894126	0.022329023751914145	0.08284389988477306	0.0008632291885676317	1.0	1.0
ENSG00000159399.9	2.169010507226286	1.0	1.0	-0.08134624117104096	0.6699949816872655	0.6796535720375901	0.01197838170005469	1.0	1.0
ENSG00000204524.6	1.776954235515897	0.30826105869732545	0.9238607699518385	-0.03649154828081172	0.04173798225722203	0.08284389988477306	0.003838031858394731	1.0	1.0
ENSG00000169813.16	1.0291072906407763	1.0	1.0	-0.06275043288006367	0.001587300400984315	0.08284389988477306	0.0017388772574512623	0.00015060788246890056	0.00839367309006283
ENSG00000173976.15	1.7739924745190778	0.2611234991516045	0.9203160407886041	-0.04370543537036174	0.6851905077530018	0.6949159085727317	0.05261305501495119	1.0	1.0
ENSG00000115364.13	0.3366756180461563	0.5846264168577072	1.0	-0.032141409689433444	0.05424049750282878	0.08288842828277716	0.0016329888415045157	1.0	1.0
ENSG00000143995.19	2.331204905503253	0.7586727616888127	1.0	-0.038225255989069055	0.10822552375943095	0.12251376952494186	-0.00048327654081007835	0.3015973666776066	0.9320687637229762
ENSG00000227617.8	3.548077724796467	1.0	1.0	-0.0436181874367899	0.06680842131068765	0.08747748462283624	-0.0010448750588813785	1.0	1.0
ENSG00000157911.9	3.2048456720267944	1.0	1.0	-0.03381030570424184	0.04959037603722072	0.08284389988477306	-0.0017916098802179974	1.0	1.0
ENSG00000198780.11	1.9792698969541145	0.18796250779305235	0.9203160407886041	-0.0385603975352009	0.028914726124280477	0.08284389988477306	0.00011449347665340182	1.0	1.0
ENSG00000006625.17	3.0852897495661282	1.0	1.0	-0.04589881800826735	0.5784499865277855	0.5874581346773452	-0.00037327068121030565	1.0	1.0
ENSG00000080644.15	2.3355419534320236	0.5949381213644576	1.0	-0.042369883018583285	0.05132193633820448	0.08284389988477306	0.002227937056368787	1.0	1.0
ENSG00000108342.12	2.4625552729415827	0.7037430797960487	1.0	-0.04663316404262275	0.024478453879449136	0.08284389988477306	0.0046027665729743905	0.02442083525862937	0.1771199113635741
ENSG00000104321.10	2.231518836439556	0.7831413003852283	1.0	-0.04063075947005131	0.05722477086806843	0.08312339623814949	0.0017623232131406318	1.0	1.0
ENSG00000065526.10	1.7086696920093354	1.0	1.0	-0.043739316581712186	0.04362310443800377	0.08284389988477306	0.00025275061558652006	0.6651718395129946	1.0
ENSG00000237133.1	2.5294928676249486	1.0	1.0	-0.035403176975910604	0.053298839220478955	0.08284389988477306	-0.0365659639689289	1.0	1.0
ENSG00000115902.10	3.524175705935196	1.0	1.0	-0.038177032839211936	0.05306771331831439	0.08284389988477306	-0.0005067152637860037	1.0	1.0
ENSG00000134762.16	1.033191775164538	1.0	1.0	-0.03199335503227851	0.42003763719716747	0.42830740568849646	0.09486883206625436	2.9151965611373676e-05	0.0032446978647543844
