	int__beta	int__p	int__padj	Subject_death__beta	Subject_death__p	Subject_death__padj	counts__beta	counts__p	counts__padj	status
ENSG00000112640.14	-2.0891647792577417	0.47824490428505817	0.8831767420194006	-0.04574021125612596	0.23232914433626095	0.9167572332199594	0.002386268273816984	0.1324736125340491	0.435103834726958	PL
ENSG00000124733.3	-0.499928104303844	0.8193709864603921	0.9767225721518418	-0.022949742939671097	0.4821826098772173	0.9167572332199594	0.0017051655635263166	0.14841652284504403	0.435103834726958	PL
ENSG00000124702.17	-1.0876799523362741	0.659361688001718	0.9514303300825233	-0.017002439705350748	0.5905069799717975	0.9167572332199594	0.0003994757016927201	0.14551701091177893	0.435103834726958	PL
ENSG00000125868.15	-1.5957133800368326	0.5582552176207289	0.9149235785193643	-0.017364576133269225	0.5995418712954321	0.9167572332199594	0.00036880817512021654	0.13667182324058236	0.435103834726958	PL
ENSG00000267426.5	1.6619049330138405	0.430531230121334	0.8643100504541648	-0.004357497613465758	0.9068200103586024	0.9723286351346616	-0.010983234211873376	0.652619436979392	0.731572110178958	PL
ENSG00000044090.8	-1.9435028915868553	0.5660895823544082	0.9183857475742903	-0.07752422488610874	0.19812781933068835	0.9167572332199594	0.009108570245633192	0.2353995151963023	0.4362353553225821	PL
ENSG00000168303.6	3.004571966564548	0.556093659140587	0.9138822209650023	-0.00994877122399002	0.7329132467019683	0.924476258222826	-0.0035002674616519875	0.6851709811936127	0.755581463147737	PL
ENSG00000112651.11	-0.5754863460587984	0.8059473548646189	0.9747632607008095	-0.01658705646900393	0.5659992098838633	0.9167572332199594	0.0032696585489620567	0.2739856900575136	0.4462058743615116	PL
ENSG00000099864.17	0.6488851796084798	0.7386020334019975	0.9681714089273886	-0.048867081298565485	0.21445891546342444	0.9167572332199594	0.0004060465271290872	0.13379592333258972	0.435103834726958	PL
ENSG00000146216.11	-0.46907397183093863	0.8540439400572495	0.9826571848396565	-0.0696726901481699	0.18181768774086637	0.9167572332199594	0.0032221690302980813	0.2045353728946676	0.435103834726958	PL
ENSG00000146215.13	1.808576589194274	0.411162895756914	0.8550465565752938	-0.08527504864521682	0.18780564999885374	0.9167572332199594	0.04466199713351111	0.221417923777939	0.435103834726958	PL
ENSG00000171467.15	3.207084586880795	0.26999900272074107	0.8108092020741628	-0.014600145879192292	0.6020953927808895	0.9167572332199594	-0.0015887572283459802	0.3623271939568756	0.5019727036916736	PL
ENSG00000102125.15	0.8005798854752864	0.6849513735658602	0.9585659285858822	-0.04212070032108681	0.25374752133435163	0.9167572332199594	0.0030352009461664703	0.11987622515824958	0.435103834726958	PL
ENSG00000228204.2	5.656012532117702	0.12948413182974716	0.8108092020741628	-0.04777538788359789	0.21216966126567083	0.9167572332199594	-0.12631702688913227	0.16682157118121455	0.435103834726958	PL
ENSG00000149761.8	-1.1794169514785147	0.6458440799947759	0.9474144386593265	-0.024308621693404493	0.4599075953958004	0.9167572332199594	0.008441335234734048	0.1465091527545349	0.435103834726958	PL
