H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
1974.12,2294.52,780.623,1568.75,793.059
1209.14,1338.35,251.288,876.801,166.699
1791.0,1076.0,1834.0,721.0,2382.0
12.2596,15.2133,8.37941,17.2259,3.42449
4247.11,1571.77,1326.68,2609.91,868.2460000000002
2693.5,2136.28,2046.0,2800.61,1256.0
275.495,76.7259,756.0,153.605,346.0
476.0,435.0,1082.0,398.0,765.0
4895.41,4889.58,3293.0,4202.22,2424.0
12.8346,17.7327,1.2117,7.41834,4.0
248.474,233.911,439.911,302.221,222.178
17.2485,21.3516,2.0,11.6261,1.00646
551.18,1986.81,248.844,1171.74,303.266
11.0,14.0,7.0,25.0,4.0
49.0396,115.379,13.8767,70.063,13.3471
832.552,792.02,365.454,924.671,250.0
132.548,173.722,23.9779,113.371,26.0057
700.6419999999998,979.725,229.092,605.816,212.377
362.133,2173.0,226.0,1867.34,106.017
225.379,224.799,6.40909,151.032,7.00904
142.623,135.438,5.94643,106.886,2.20476
434.788,560.808,10.3873,338.142,9.03255
106.712,200.663,8.22231,188.665,17.5353
17807.6,11364.3,4257.47,4727.65,5971.13
44.0,4.0,31.0,33.0,16.0
273.0,287.0,182.0,655.0,62.0
1272.18,1530.98,693.1489999999999,1430.75,484.724
6074.0,774.0,2670.0,1326.0,1684.0
971.999,946.149,733.0,1302.23,484.645
33.5209,46.8534,4.71257,28.3519,1.01092
15.0,4.0,6.0,11.0,2.0
5384.05,1753.72,733.03,1506.39,842.14
794.128,734.373,280.632,552.306,222.429
20.0,43.0,8.0,19.0,5.0
59.2471,72.5718,3.07223,38.2003,2.00758
401.717,559.5369999999998,29.0577,394.797,14.527
162.37,247.503,15.4565,153.274,17.4987
11.4229,9.60179,3.1569,18.1587,2.02026
52.5631,2440.54,126.98,2290.87,149.84
2658.33,2272.9,593.685,1782.66,601.0
195.236,293.25,246.22,191.156,270.705
2123.0,2814.0,1570.0,1950.0,1127.0
43.0992,2.24211,16.5496,15.7477,7.02
250.926,146.238,949.639,412.382,445.208
24.0,137.0,16.0,43.0,30.0
20.042,65.375,11.1092,20.0092,13.764
372.937,565.932,16.0798,332.84,9.47424
44.0,21.0,49.0123,50.0,19.9177
393.66,304.486,42.8299,236.712,33.9975
146.994,190.138,22.4409,126.635,15.8828
356.288,636.6659999999998,412.479,269.191,430.3130000000001
18.0,60.0,1.21067,20.0,3.0
43.0,149.0,26.6641,87.01700000000002,12.0
2358.0,1150.0,1553.72,1175.0,1025.24
88.0001,147.0,64.2841,133.0,45.7671
856.2080000000002,1299.97,69.3568,598.986,114.954
251.392,634.637,248.228,286.28,308.813
1128.64,4554.97,420.084,3838.69,320.736
42.0,43.0,142.0,94.0,106.0
11.0,16.0,8.0,10.0,2.0
257.0,783.0,211.325,245.282,188.361
5.9358900000000006,23.9915,6.76323,34.3226,2.8162
196.541,180.95,10.0665,116.154,8.17264
94.26,153.809,52.8238,87.0158,42.462
44.9529,46.6674,34.4077,52.7161,17.4704
3990.63,3252.18,1492.0,3382.02,1407.0
16046.6,12633.2,6338.72,9056.95,4205.08
55.0587,76.6528,165.65200000000004,94.693,139.628
41.5653,48.3074,151.0,24.0,48.0
377.02,331.884,262.534,212.71,164.18599999999995
17.0,21.4025,28.7527,20.0,6.627389999999999
642.0,630.0,1014.0,395.0,747.0
717.095,338.161,1118.13,574.075,640.976
408.0,403.0,627.872,460.0,419.024
670.0,712.0,437.837,523.0,303.0
1063.98,664.4010000000002,937.797,821.82,658.145
21.0,33.0,1.0,15.0,2.0
417.3130000000001,435.673,473.195,352.106,331.0
7.502489999999999,39.9856,32.0,12.9213,20.0
177.949,4.55897e-06,1236.89,143.423,887.61
214.0,261.0,2681.0,519.0,2302.0
812.61,811.763,583.294,779.819,468.549
468.086,319.56,419.0,635.038,242.782
989.756,865.003,635.514,841.0,431.0
483.452,648.232,273.0,426.453,295.0
261.0,384.0,112.0,365.0,55.0
27.8019,17.2766,22.0949,17.7721,11.9706
184.401,287.17,25.5707,121.683,28.4758
1085.39,861.3919999999998,861.795,1352.4,1085.49
708.42,789.5,1296.0,750.857,958.304
6.0,3.31794,18.8849,13.2421,51.4903
19.9438,25.8213,2.20216,11.837,1.3559
